Gemeentecode;Wijkcode;Regionaam;Gemiddeld persoonlijk inkomen
;WK026204;Wijk 04 Gorssel;32.2
;WK026205;Wijk 01 Almen-Harfsen;28.8
GM0263;Totaal;Maasdriel;28.1
;WK026300;Wijk 00 Kerkdriel;27.3
;WK026301;Wijk 01 Ammerzoden;28.1
;WK026302;Wijk 02 Hedel;28.8
;WK026303;Wijk 03 Heerewaarden;27.3
;WK026304;Wijk 04 Rossum;30
GM0267;Totaal;Nijkerk;27.3
;WK026701;Nijkerk-stad;25.9
;WK026702;Appel, Driedorp, Kruishaar, Prinsenkamp;31.5
;WK026703;Nijkerkerveen en Holkerveen;27.7
;WK026704;Arkemheen, Achterhoek, De Veenhuis;29.6
;WK026705;Hoevelaken;30.1
GM0268;Totaal;Nijmegen;26.6
;WK026801;Nijmegen-Centrum;27.2
;WK026802;Nijmegen-Oost;30.8
;WK026803;Nijmegen-Oud-West;25.5
;WK026804;Nijmegen-Nieuw-West;24.6
;WK026805;Nijmegen-Midden;28.5
;WK026806;Nijmegen-Zuid;24.4
;WK026807;Dukenburg;22.7
;WK026808;Lindenholt;24.2
;WK026809;Nijmegen-Noord;29.1
GM0269;Totaal;Oldebroek;24.1
;WK026900;Wijk 00 Oldebroek;23.2
;WK026901;Wijk 01 Wezep;24.8
;WK026902;Wijk 02 Oosterwolde;22.9
GM0273;Totaal;Putten;26.9
;WK027300;Wijk 00 Putten;26.6
;WK027301;Wijk 01 Bosgebied en Krachtighuizen;30.9
GM0274;Totaal;Renkum;31.7
;WK027401;Renkum Zuid;27.8
;WK027402;Renkum Noord;26.6
;WK027403;Heelsum ten westen van de rijksweg;29.4
;WK027404;Heelsum ten oosten van de rijksweg;57.3
;WK027405;Wolfheze ten zuiden van het spoor;35.3
;WK027406;Wolfheze ten noorden van het spoor;36.5
;WK027407;Buitengebied Doorwerth;46.6
;WK027408;Bebouwde kom Doorwerth;28.5
;WK027409;Heveadorp;35.6
;WK027410;Oosterbeek West;44.5
;WK027411;Oosterbeek Zuidoost;34.7
;WK027412;Oosterbeek Noordoost;34.7
GM0275;Totaal;Rheden;27.3
;WK027500;Wijk 00 Dieren;26.5
;WK027501;Wijk 01 Rheden;26.5
;WK027502;Wijk 02 Velp;28.5
GM0277;Totaal;Rozendaal;40.9
;WK027700;Wijk 00;40.9
GM0279;Totaal;Scherpenzeel;26.2
;WK027900;Wijk 00;26.2
GM0281;Totaal;Tiel;25.8
;WK028100;Tiel kern;23.2
;WK028101;Tiel-Noord;26.9
;WK028102;Wadenoijen en Kapel Avezaath;28.7
;WK028103;Tiel-Zuid;29.2
GM0285;Totaal;Voorst;27.9
;WK028500;Wijk 00 Voorst;27.5
;WK028501;Wijk 01 Twello-Nijbroek;27.9
;WK028502;Wijk 02 Klarenbeek-Teuge;28
;WK028503;Wijk 03 Wilp;28.4
GM0289;Totaal;Wageningen;25.3
;WK028901;Noordwest;29.3
;WK028902;Wageningen Universiteit;8.3
;WK028903;De Weiden en Boomgaarden;29.5
;WK028904;De Horsten;24.9
;WK028905;Kortenoord;18.8
;WK028906;De Buurt;21.2
;WK028907;Boven- en Benedenbuurt;25.1
;WK028908;Nude;22.8
;WK028909;Centrum;23.6
;WK028910;Veluvia-Hamelakkers;33.5
;WK028911;Wageningen-Hoog;49.4
;WK028912;Buitengebied;32.8
GM0293;Totaal;Westervoort;26.2
;WK029300;Wijk 00;26.2
GM0294;Totaal;Winterswijk;24.7
;WK029400;Wijk 00 Stad;24
;WK029401;Wijk 01 Land;27.2
GM0296;Totaal;Wijchen;27.7
;WK029600;Wijk 00 Wijchen buitengebied;29.4
;WK029601;Wijk 01 Wijchen kern;27.4
;WK029602;Wijk 02 Balgoij;29.9
;WK029603;Wijk 03 Batenburg;26.2
;WK029604;Wijk 04 Bergharen;28.7
;WK029605;Wijk 05 Hernen;29.2
;WK029606;Wijk 06 Leur;30.4
;WK029607;Wijk 07 Niftrik;28.8
;WK029608;Wijk 08 Alverna;28.5
GM0297;Totaal;Zaltbommel;27
;WK029700;Wijk 00 Zaltbommel;28.5
;WK029701;Wijk 01 Brakel;25.1
;WK029702;Wijk 02 Kerkwijk;27.2
;WK029703;Wijk 03 Nederhemert;25.3
GM0299;Totaal;Zevenaar;25.8
;WK029900;Zevenaar;25.7
;WK029901;Babberich;26.1
;WK029902;Angerlo;29
;WK029903;Giesbeek;28.7
;WK029904;Lathum;30.1
;WK029905;Rijnstrangen;.
;WK029906;Pannerden;25.3
;WK029907;Aerdt;26
;WK029908;Herwen;26.5
;WK029909;Lobith;22.3
;WK029910;Tolkamer;26.1
;WK029911;Spijk;22.5
GM0301;Totaal;Zutphen;25.9
;WK030100;Wijk 00 Centrum - De Hoven;28.4
;WK030101;Wijk 01 Waterkwartier;21.6
;WK030102;Wijk 02 Noordveen;24.8
;WK030103;Wijk 03 Zuidwijken;23.8
;WK030104;Wijk 04 Leesten;28.3
;WK030105;Wijk 05 Warnsveld;28.4
GM0302;Totaal;Nunspeet;25.4
;WK030200;Wijk 00 Nunspeet;25.4
;WK030201;Wijk 01 Elspeet-Vierhouten;25.4
GM0303;Totaal;Dronten;26.5
;WK030301;Wijk 01 Dronten west;28.8
;WK030302;Wijk 02 Dronten Noord;20.1
;WK030303;Wijk 03 Dronten Midden;23.1
;WK030304;Wijk 04 Dronten Zuid;28.8
;WK030305;Wijk 05 Buitengebied Dronten;29.9
;WK030306;Wijk 06 Biddinghuizen;25.1
;WK030307;Wijk 07 Swifterbant;25.5
GM0307;Totaal;Amersfoort;30.2
;WK030701;Stadskern;34.6
;WK030702;Nederberg;35.7
;WK030703;Soesterkwartier;27.1
;WK030704;Eemkwartier;41.5
;WK030705;Isselt;20.6
;WK030706;De Koppel;27
;WK030707;Kruiskamp;24.1
;WK030708;Schothorst-Zuid;26.2
;WK030709;Schothorst-Noord;27.8
;WK030710;Liendert;22.2
;WK030711;Rustenburg;26.2
;WK030712;Buitengebied-Oost;31.8
;WK030713;Schuilenburg;24.3
;WK030714;Randenbroek;27.9
;WK030715;Vermeerkwartier;33.1
;WK030716;Leusderkwartier;32.9
;WK030717;De Berg-Zuid;34.6
;WK030718;De Berg-Noord;50.4
;WK030719;Hoogland;30.8
;WK030720;Zielhorst;29.5
;WK030721;Kattenbroek;31.1
;WK030722;Calveen;34.7
;WK030724;Nieuwland;30.8
;WK030725;De Hoef;27.1
;WK030726;Hooglanderveen;32
;WK030727;Hoogland-West;35.8
;WK030728;Vathorst-De Velden;32.1
;WK030729;Vathorst-Centrum;31.8
;WK030730;Vathorst-De Bron;30.5
;WK030731;Vathorst-De Laak;31.5
;WK030732;Vathorst-Bovenduist;.
;WK030733;Bedrijventerrein Vathorst;.
;WK030734;Bosgebied;38.6
GM0308;Totaal;Baarn;32.8
;WK030800;Wijk 00 Baarn;34
;WK030801;Wijk 01 Baarn-Noord, Eemdal en Eemland;28.3
;WK030802;Wijk 02 P.H.W.park;51.5
;WK030804;Wijk 04 Buitengebied;37.9
;WK030805;Wijk 05 Lage Vuursche;34.5
GM0310;Totaal;De Bilt;34.7
;WK031001;Westbroek;30.6
;WK031002;Hollandsche Rading;37.9
;WK031003;Maartensdijk;27.2
;WK031004;Groenekan;36.7
;WK031005;De Leijen;29.6
;WK031006;Bilthoven Noord;56.9
;WK031007;Bilthoven Zuid Oost;40.8
;WK031008;Bilthoven Zuid West;28.8
;WK031009;De Bilt West;33.1
;WK031010;De Bilt Oost;29.8
GM0312;Totaal;Bunnik;32.7
;WK031200;Wijk 00 Bunnik;33.2
;WK031201;Wijk 01 Odijk;33
;WK031202;Wijk 02 Werkhoven;30.7
GM0313;Totaal;Bunschoten;26.5
;WK031300;Wijk 00;26.5
GM0317;Totaal;Eemnes;30.6
;WK031702;Eemnes;30.6
GM0321;Totaal;Houten;32
;WK032110;Houten Noord-West;32.5
;WK032111;Houten Noord-Oost;28.6
;WK032112;Houten Zuid-West;32.4
;WK032113;Houten Zuid-Oost;34.4
;WK032120;Houten Buitengebied;34.8
;WK032130;'t Goy;31.2
;WK032131;'t Goy Buitengebied;31.7
;WK032140;Tull en 't Waal;35.1
;WK032141;Tull en 't Waal Buitengebied;.
;WK032150;Schalkwijk;29.6
;WK032151;Schalkwijk Buitengebied;31.6
GM0327;Totaal;Leusden;31.2
;WK032700;Wijk 00 Leusden-Centrum Oost;30.6
;WK032701;Wijk 01 Leusden-Centrum West;30.5
;WK032702;Wijk 02 Leusden-Zuid;34.7
;WK032703;Wijk 03 Achterveld;29.8
;WK032704;Wijk 04 Stoutenburg;31.9
;WK032705;Wijk 05 't Ruige Veld;30.5
GM0331;Totaal;Lopik;27.4
;WK033100;Wijk 00 Lopik, Benschop en Polsbroek;27.4
GM0335;Totaal;Montfoort;29.4
;WK033500;Wijk 00;28.5
;WK033501;Wijk 01 Linschoten;30.2
;WK033502;Wijk 02 Willeskop;32.4
GM0339;Totaal;Renswoude;27.5
;WK033900;Wijk 00;27.5
GM0340;Totaal;Rhenen;27.3
;WK034000;Wijk 00 Rhenen;28.3
;WK034001;Wijk 01 Rhenen Oost;30.3
;WK034002;Wijk 02 Rhenen West;25.8
;WK034003;Wijk 03 Rhenen Noord;24.7
;WK034004;Wijk 04 Grebbeberg;.
;WK034005;Wijk 05 Randzone;31.7
;WK034006;Wijk 06 Binnenveld;23
;WK034007;Wijk 07 Achterberg;25.1
;WK034008;Wijk 08 Uiterwaarden Rhenen;33.5
;WK034009;Wijk 09 Remmerden;.
;WK034010;Wijk 10 Heuvelrug Rhenen;.
;WK034011;Wijk 11 Heuvelrug Elst;.
;WK034012;Wijk 12 Uiterwaarden Elst;.
;WK034013;Wijk 13 Elst;27.2
GM0342;Totaal;Soest;31
;WK034201;Wijk 01 't Hart-Soestdijk;34.7
;WK034202;Wijk 02 Klaarwater;25.6
;WK034203;Wijk 03 Boerenstreek;31.6
;WK034204;Wijk 04 de Eng-Soest-Midden;29.8
;WK034205;Wijk 05 Smitsveen;24.2
;WK034206;Wijk 06 Overhees;29.7
;WK034207;Wijk 07 Soest-Zuid;37.8
;WK034208;Wijk 08 Soesterberg;29.7
GM0344;Totaal;Utrecht;30.6
;WK034401;Wijk 01 West;32.5
;WK034402;Wijk 02 Noordwest;28.2
;WK034403;Wijk 03 Overvecht;20.3
;WK034404;Wijk 04 Noordoost;35.7
;WK034405;Wijk 05 Oost;34.4
;WK034406;Wijk 06 Binnenstad;38.7
;WK034407;Wijk 07 Zuid;28.2
;WK034408;Wijk 08 Zuidwest;27.1
;WK034409;Wijk 09 Leidsche Rijn;32.1
;WK034410;Wijk 10 Vleuten-De Meern;31.9
GM0345;Totaal;Veenendaal;25.9
;WK034500;Centrum;26.1
;WK034501;Noordoost;25.7
;WK034502;Zuidoost;26.6
;WK034503;Zuidwest;24.4
;WK034504;Noordwest;24.1
;WK034505;West;27.2
GM0351;Totaal;Woudenberg;27.4
;WK035100;Wijk 00 Woudenberg;27.4
GM0352;Totaal;Wijk bij Duurstede;29.7
;WK035200;Wijk 00 Wijk bij Duurstede;29.8
;WK035201;Wijk 01 Landelijk gebied;33.9
;WK035202;Wijk 02 Cothen;28.5
;WK035203;Wijk 03 Langbroek;29.9
GM0353;Totaal;IJsselstein;29.7
;WK035300;Wijk 00 IJsselstein;29.7
GM0355;Totaal;Zeist;33.2
;WK035501;Zeist Centrum;38.7
;WK035502;Zeist-Noord;26.7
;WK035503;Zeist-West;27.9
;WK035504;Zeist-Oost;36.3
;WK035505;Den Dolder e.o.;41.2
GM0356;Totaal;Nieuwegein;27.9
;WK035601;Jutphaas Wijkersloot;25.1
;WK035602;Zuilenstein;26.8
;WK035603;Batau Zuid;26.8
;WK035604;Batau Noord;28.7
;WK035605;Doorslag;28.5
;WK035606;Huis de Geer;31.3
;WK035607;Blokhoeve;35.7
;WK035608;Galecop;30.2
;WK035610;Fokkesteeg;26.8
;WK035611;Hoogzandveld;25.5
;WK035612;Lekboulevard;29.2
;WK035613;Vreeswijk;28.1
;WK035614;Merwestein;26.7
;WK035615;Park Oudegein;.
;WK035616;Zandveld;24.5
;WK035618;Het Klooster;.
;WK035620;Laagraven;19.5
;WK035621;Plettenburg;36.1
;WK035622;De Wiers;.
;WK035623;Hoge Landen;.
;WK035624;Stadscentrum;29.8
;WK035625;Rijnhuizen;33.9
GM0358;Totaal;Aalsmeer;31.3
;WK035800;Wijk 00 Aalsmeer;31.1
;WK035801;Wijk 01 Kudelstraat en Kalslagen;30.2
;WK035802;Wijk 02 Oosteinde;32.5
GM0361;Totaal;Alkmaar;27.8
;WK036101;Zuid;30
;WK036102;Oudorp;27.9
;WK036103;Overdie;21.9
;WK036104;West;28.6
;WK036105;Huiswaard;24.9
;WK036106;De Mare;25.1
;WK036107;Daalmeer/Koedijk;26.2
;WK036108;Centrum;34
;WK036109;Schermer;29.5
;WK036110;Graft-De Rijp;29.6
;WK036111;Vroonermeer;31.3
GM0362;Totaal;Amstelveen;35.1
;WK036201;Randwijck;39.2
;WK036202;Patrimonium;41.5
;WK036203;Elsrijk;42.9
;WK036204;Stadshart;40.9
;WK036205;Uilenstede, Kronenburg;14.6
;WK036206;Bankras, Kostverloren;32.5
;WK036207;Buitengebied Noord;64.1
;WK036208;Keizer Karelpark;32.3
;WK036209;Groenelaan;30.5
;WK036210;Waardhuizen, Middenhoven;32.8
;WK036211;Bovenkerk - Westwijk Noord;33.6
;WK036212;Westwijk Zuid;37.3
;WK036213;Buitengebied Zuid;38.5
;WK036214;Amsterdamse Bos;36.4
GM0363;Totaal;Amsterdam;32.4
;WK0363AA;Haarlemmerbuurt;38.3
;WK0363AB;Jordaan;38.7
;WK0363AC;Grachtengordel-West;62.6
;WK0363AD;Burgwallen-Nieuwe Zijde;38
;WK0363AE;Burgwallen-Oude Zijde;32.8
;WK0363AF;Nieuwmarkt/Lastage;38.8
;WK0363AG;Grachtengordel-Zuid;62.9
;WK0363AH;De Weteringschans;51.1
;WK0363AJ;Weesperbuurt/Plantage;45.1
;WK0363AK;Oostelijke Eilanden/Kadijken;33.2
;WK0363BA;Havens-West;.
;WK0363BB;Coenhaven/Minervahaven;.
;WK0363EA;Sloterdijk-West;44.6
;WK0363EB;Spaarndammerbuurt/Zeeheldenbuurt;29.5
;WK0363EC;Houthavens;53.6
;WK0363ED;De Kolenkit;23.2
;WK0363EE;Landlust;27.8
;WK0363EF;Erasmuspark;32.7
;WK0363EG;Centrale Markt;32.1
;WK0363EH;Staatsliedenbuurt;33.4
;WK0363EJ;Frederik Hendrikbuurt;36.6
;WK0363EK;Van Galenbuurt;27.7
;WK0363EL;Geuzenbuurt;34.7
;WK0363EM;Hoofdweg e.o.;29.7
;WK0363EN;Chassébuurt;30
;WK0363EP;Bellamybuurt;37.3
;WK0363EQ;Da Costabuurt;40.1
;WK0363ER;Westindische Buurt;36.6
;WK0363ES;Van Lennepbuurt;31.8
;WK0363ET;Overtoomse Sluis;43.7
;WK0363EU;Helmersbuurt;44.3
;WK0363EV;Vondelparkbuurt;59.2
;WK0363FA;Sloterdijk Nieuw-West;23.4
;WK0363FB;Geuzenveld;20.4
;WK0363FC;Slotermeer-West;18.8
;WK0363FD;Slotermeer-Noordoost;20
;WK0363FE;Slotermeer-Zuidoost;23.5
;WK0363FF;Lutkemeer/Ookmeer;29.9
;WK0363FG;De Aker;29.3
;WK0363FH;De Punt;21.2
;WK0363FJ;Osdorp-Midden;21.9
;WK0363FK;Osdorp-Oost;23.3
;WK0363FL;Slotervaart-Noord;24.4
;WK0363FM;Overtoomse Veld;26.4
;WK0363FN;Slotervaart-Zuid;22.9
;WK0363FP;Westlandgracht;33
;WK0363FQ;Sloten/Nieuw-Sloten;32.2
;WK0363KA;Hoofddorppleinbuurt;41.3
;WK0363KB;Schinkelbuurt;38.6
;WK0363KC;Willemspark;72.6
;WK0363KD;Museumkwartier;70.1
;WK0363KE;Oude Pijp;39.3
;WK0363KF;Nieuwe Pijp;37.8
;WK0363KG;Zuid Pijp;27
;WK0363KH;Stadionbuurt;37.4
;WK0363KJ;Apollobuurt;66.2
;WK0363KK;Scheldebuurt;42.7
;WK0363KL;IJselbuurt;34.5
;WK0363KM;Rijnbuurt;36.7
;WK0363KN;Prinses Irenebuurt e.o.;60
;WK0363KP;Zuidas;61.7
;WK0363KQ;Buitenveldert-West;38.4
;WK0363KR;Buitenveldert-Oost;35.6
;WK0363MA;Oostelijk Havengebied;39.9
;WK0363MB;Weesperzijde;41.8
;WK0363MC;Oosterparkbuurt;32
;WK0363MD;Transvaalbuurt;27.5
;WK0363ME;Dapperbuurt;30.7
;WK0363MF;Indische Buurt-West;28.1
;WK0363MG;Indische Buurt-Oost;25.1
;WK0363MH;Zeeburgereiland/Bovendiep;30.9
;WK0363MJ;IJburg-West;35.1
;WK0363MK;IJburg-Oost;.
;WK0363ML;IJburg-Zuid;32
;WK0363MM;Frankendael;32.6
;WK0363MN;Middenmeer;38.2
;WK0363MP;Betondorp;24
;WK0363MQ;Omval/Overamstel;45
;WK0363NA;Oostzanerwerf;24.9
;WK0363NB;Noordelijke IJ-oevers-West;37.7
;WK0363NC;Tuindorp Oostzaan;24.1
;WK0363ND;Kadoelen;30.1
;WK0363NE;Banne Buiksloot;21.6
;WK0363NF;Nieuwendammerdijk/Buiksloterdijk;40.7
;WK0363NG;Elzenhagen;30
;WK0363NH;Buikslotermeer;22
;WK0363NJ;Waterlandpleinbuurt;20.8
;WK0363NK;Volewijck;21.2
;WK0363NL;IJplein/Vogelbuurt;22.2
;WK0363NM;Tuindorp Buiksloot;22.5
;WK0363NN;Tuindorp Nieuwendam;23.5
;WK0363NP;Noordelijke IJ-oevers-Oost;30.6
;WK0363NQ;Waterland;35.6
;WK0363SA;Driemond;28.8
;WK0363SB;Bloemendalerpolder;40.1
;WK0363SC;Weesp-Noordwest;27.3
;WK0363SD;Weesp Binnenstad/Zuid;33.5
;WK0363SE;Aetsveld/Oostelijke Vechtoever;31.5
;WK0363TA;Amstel III/Bullewijk;.
;WK0363TB;Venserpolder;22.1
;WK0363TC;Amsterdamse Poort e.o.;21.5
;WK0363TD;H-buurt;17.5
;WK0363TE;Ganzenhoef e.o.;23.1
;WK0363TF;Geerdinkhof/Kantershof;26.7
;WK0363TG;Bijlmermuseum;18.4
;WK0363TH;K-buurt;21.6
;WK0363TJ;Holendrecht;19.4
;WK0363TK;Nellestein;29.6
;WK0363TL;Reigersbos;23.6
;WK0363TM;Gein;24.4
GM0373;Totaal;Bergen (NH.);32.4
;WK037301;Wijk 01 Bergen Binnen;35
;WK037302;Wijk 02 Bergen aan Zee;39.9
;WK037303;Wijk 03 Buitengebied Bergen;41.2
;WK037304;Wijk 04 Egmond aan Zee;28.2
;WK037305;Wijk 05 Egmond-Binnen;28.2
;WK037306;Wijk 06 Egmond aan den Hoef;30
;WK037307;Wijk 07 Schoorl;32.5
GM0375;Totaal;Beverwijk;27
;WK037500;Centrum;26.3
;WK037501;Vondelkwartier;33
;WK037502;Oranjebuurt;24.2
;WK037503;Kuenenkwartier;23.9
;WK037504;Warande;33.3
;WK037505;Noordwestelijk tuinbouwgebied;30.7
;WK037506;Oosterwijk en Zwaansmeer;21.7
;WK037507;Meerestein;24.7
;WK037508;Wijk aan Zee;31.3
;WK037509;de Pijp en Wijkerbroek;28
;WK037510;Broekpolder;28.8
GM0376;Totaal;Blaricum;41.1
;WK037601;Blaricum;41.1
GM0377;Totaal;Bloemendaal;44.7
;WK037700;Wijk 00 Bloemendaal;46.8
;WK037701;Wijk 01 Overveen;45.3
;WK037702;Wijk 02 Aerdenhout;56.9
;WK037703;Wijk 03 Vogelenzang;33.7
;WK037704;Wijk 04 Bennebroek;34.8
GM0383;Totaal;Castricum;31.7
;WK038300;Wijk 00 Centrum;32.6
;WK038301;Wijk 01 Castricum-Noord;30.2
;WK038302;Wijk 02 Castricum-Oost;32.6
;WK038303;Wijk 03 Castricum-Zuid;34.7
;WK038304;Wijk 04 Bakkum;34.8
;WK038305;Wijk 05 Akersloot;29.9
;WK038306;Wijk 06 De Woude;34.5
;WK038307;Wijk 07 Limmen;30.6
GM0384;Totaal;Diemen;29.2
;WK038401;Diemen Noord;33
;WK038402;Diemen Centrum;26.1
;WK038403;Diemen Zuid;27.4
;WK038404;Bergwijkpark;.
;WK038405;Holland Park;29.9
;WK038406;Bedrijventerreinen;.
;WK038407;Plantage de Sniep;37.4
;WK038408;Buitengebied;35.9
GM0385;Totaal;Edam-Volendam;29.2
;WK038500;Wijk 00 Edam;29
;WK038501;Wijk 01 Purmer;26.6
;WK038502;Wijk 02 Volendam;28.6
;WK038503;Wijk 03 Beets;31
;WK038504;Wijk 04 Oosthuizen;28.1
;WK038505;Wijk 05 Warder;32.9
;WK038506;Wijk 06 Middelie;41.9
;WK038507;Wijk 07 Kwadijk;33.6
;WK038508;Wijk 08 Schardam;34.5
;WK038509;Wijk 09 Hobrede;37.6
GM0388;Totaal;Enkhuizen;25.9
;WK038800;Centrum en Havens;28.4
;WK038801;Enkhuizen Noord;24.2
;WK038802;Enkhuizen Buitengebied;33.7
;WK038803;Enkhuizen Zuid;26.9
;WK038810;Buitengebied IJsselmeer en Markermeer;.
GM0392;Totaal;Haarlem;31.1
;WK039201;Oude Stad;39.4
;WK039202;Haarlemmerhoutkwartier;43.2
;WK039203;Zijlwegkwartier;34.1
;WK039204;Houtvaartkwartier;32.5
;WK039205;Duinwijk;35.8
;WK039206;Waarder- en Veerpolder;37.2
;WK039207;Amsterdamsewijk;29.1
;WK039208;Slachthuiswijk;24.8
;WK039209;Parkwijk;26.5
;WK039210;Transvaalwijk;30
;WK039211;Indischewijk;28.7
;WK039212;Ter Kleefkwartier;35.7
;WK039213;Te Zaanenkwartier;33.7
;WK039214;Vogelenwijk;29.7
;WK039215;Delftwijk;25.5
;WK039216;Vondelkwartier;26.9
;WK039217;Spaarndam;29.4
;WK039218;Europawijk;23.9
;WK039219;Boerhaavewijk;23.4
;WK039220;Molenwijk;27.4
;WK039221;Meerwijk;20.5
GM0394;Totaal;Haarlemmermeer;30.6
;WK039401;Hoofddorp;30.3
;WK039402;Nieuw-Vennep;30.1
;WK039403;Zwanenburg;28.1
;WK039404;Lijnden / Boesingheliede;31.1
;WK039405;Badhoevedorp;34.5
;WK039406;Aalsmeerderbrug/ Oude Meer/ Rozenburg /;29.9
;WK039407;Rijsenhout;27.9
;WK039408;Burgerveen / Leimuiderbrug / Weteringbru;31.6
;WK039409;Abbenes / Buitenkaag;27.8
;WK039410;Lisserbroek;29
;WK039411;Beinsdorp;31.1
;WK039412;Zwaanshoek;32.6
;WK039413;Cruquius;34.7
;WK039415;Vijfhuizen;33.9
;WK039416;Schiphol;.
;WK039420;Spaarndam;31.6
;WK039421;Haarlemmerliede;33.5
;WK039422;Halfweg;31.4
GM0396;Totaal;Heemskerk;28.2
;WK039601;Wijk 01 Heemskerk-Dorp;31.6
;WK039602;Wijk 02 Commandeurs en Marquette;29.8
;WK039603;Wijk 03 Hofland, Oosterwijk en Zuidbroek;24.3
;WK039604;Wijk 04 Heemskerkerduin en Noorddorp;31.3
;WK039605;Wijk 05 Poelenburg en Oosterzij;22.4
;WK039606;Wijk 06 Noordbroek en De Trompet;29.9
;WK039607;Wijk 07 Kerkbeek;28.3
;WK039608;Wijk 08 Assumburg;28.7
;WK039609;Wijk 09 Hoogdorp en Waterakkers;30.7
;WK039610;Wijk 10 Broekpolder;30.2
;WK039611;Wijk 11 Oostelijk Heemskerk;.
GM0397;Totaal;Heemstede;40.2
;WK039700;Wijk 00 Heemstede-Centrum;40.8
;WK039701;Wijk 01 Heemstede-Zuid;32.5
;WK039702;Wijk 02 Heemstede west van de spoorbaan;45.2
GM0399;Totaal;Heiloo;32.1
;WK039901;Wijk 01 Blockhovepark;41.9
;WK039902;Wijk 02 Heiloo Noord-West;36
;WK039903;Wijk 03 Heiloo-Midden;32.8
;WK039904;Wijk 04 Heiloo-West;30.5
;WK039905;Wijk 05 Stationsomgeving;29.3
;WK039906;Wijk 06 Ypestein;32.4
;WK039907;Wijk 07 Heiloo-Oost;.
;WK039908;Wijk 08 Heiloo Zuid-West;32.5
GM0400;Totaal;Den Helder;25.6
;WK040001;Wijk 01 Stad binnen de Linie-Oost;24.5
;WK040002;Wijk 02 Stad binnen de Linie-West;24.9
;WK040003;Wijk 03 Nieuw Den Helder-West;25.9
;WK040004;Wijk 04 Nieuw Den Helder-Oost;23.3
;WK040005;Wijk 05 De Schooten;24.9
;WK040006;Wijk 06 Het Koegras;27.8
;WK040007;Wijk 07 Duinzoom;33.9
;WK040008;Wijk 08 Julianadorp;28.5
GM0402;Totaal;Hilversum;31.8
;WK040201;Centrum;30.8
;WK040202;Noordwest;51.9
;WK040203;Zuidwest;28.3
;WK040204;Zuid;32.2
;WK040205;Zuidoost;37.7
;WK040206;Oost;26.8
;WK040207;Noordoost;26.3
;WK040208;Hilversumse Meent;28.4
;WK040209;Landelijk Gebied;41.8
GM0405;Totaal;Hoorn;26.8
;WK040510;Wijk 10 Binnenstad;33.2
;WK040511;Wijk 11 Venenlaan-kwartier;28.4
;WK040512;Wijk 12 Hoorn-Noord;26.7
;WK040513;Wijk 13 Grote Waal;23.1
;WK040520;Wijk 20 Risdam-Zuid;25.8
;WK040521;Wijk 21 Risdam-Noord;24.4
;WK040522;Wijk 22 Nieuwe Steen;34.3
;WK040530;Wijk 30 Zwaag;25.9
;WK040531;Wijk 31 Blokker;28.2
;WK040532;Wijk 32 Kersenboogerd-Noord;21.6
;WK040533;Wijk 33 Kersenboogerd-Zuid;27.4
;WK040534;Wijk 34 Hoorn 80;.
;WK040535;Wijk 35 Bangert en Oosterpolder;28.4
;WK040536;Wijk 36 Noord;.
GM0406;Totaal;Huizen;30.2
;WK040600;Wijk 00 Oude Dorp;30.3
;WK040601;Wijk 01 Westereng;33.3
;WK040602;Wijk 02 Buitenwijken;68.6
;WK040603;Wijk 03 Erica en Tafelberg;56.1
;WK040604;Wijk 04 Staatslieden en Componistenbuurt;39.9
;WK040605;Wijk 05 Havengebied;31.1
;WK040606;Wijk 06 Zenderwijk en Bovenweg;26.7
;WK040607;Wijk 07 Stad en Lande;22
;WK040608;Wijk 08 Huizermaat West en Zuid;27
;WK040609;Wijk 09 Huizermaat Noord;27.9
;WK040610;Wijk 10 Bijvanck;27.2
;WK040611;Wijk 11 Bovenmaten;26.9
;WK040612;Wijk 12 Hogemaat;35.8
GM0415;Totaal;Landsmeer;32.2
;WK041501;Purmerland;43.9
;WK041502;Den Ilp;36.2
;WK041503;Landsmeer;31.4
GM0417;Totaal;Laren;43.2
;WK041703;Laren;43.2
GM0420;Totaal;Medemblik;26.6
;WK042001;Medemblik;25
;WK042002;Opperdoes;24.6
;WK042003;Twisk;29.4
;WK042004;Lambertschaag;30.7
;WK042005;Abbekerk;27.6
;WK042006;Sijbekarspel;26.2
;WK042007;Benningbroek;28.5
;WK042008;Wognum;28.4
;WK042009;Zwaagdijk-West;29.7
;WK042010;Nibbixwoud;26.1
;WK042011;Midwoud;27.1
;WK042012;Oostwoud;29.9
;WK042013;Hauwert;28.5
;WK042014;Zwaagdijk-Oost;28.7
;WK042015;Wervershoof;26.1
;WK042016;Andijk;26.1
GM0431;Totaal;Oostzaan;29.8
;WK043100;Wijk 00;29.8
GM0432;Totaal;Opmeer;26.6
;WK043201;Opmeer;25.9
;WK043202;Spanbroek;26.5
;WK043203;Hoogwoud;26.7
;WK043204;Aartswoud;26.6
;WK043205;De Weere;28.6
GM0437;Totaal;Ouder-Amstel;35.2
;WK043700;Wijk 00;35.2
GM0439;Totaal;Purmerend;27.6
;WK043901;Wijk 01 Centrum;28.9
;WK043902;Wijk 02 Overwhere;25.9
;WK043903;Wijk 03 Wheermolen;22.2
;WK043904;Wijk 04 Gors;27.1
