Gemeentecode;Wijkcode;Regionaam;Gemiddeld persoonlijk inkomen
;WK008608;Langezwaag;25.7
;WK008609;Lippenhuizen;25.9
;WK008610;Luxwoude;26.9
;WK008611;Nij Beets;25.5
;WK008613;Siegerswoude;30.7
;WK008614;Terwispel;25.4
;WK008615;Tijnje;25.3
;WK008616;Ureterp;23.8
;WK008617;Wijnjewoude;24.1
GM0088;Totaal;Schiermonnikoog;26.8
;WK008800;Wijk 00;26.8
GM0090;Totaal;Smallingerland;24.4
;WK009000;Wijk 00 Drachten;24.1
;WK009001;Wijk 01 Overig Smallingerland;25.8
GM0093;Totaal;Terschelling;27.6
;WK009300;Wijk 00 West-Terschelling;26.6
;WK009301;Wijk 01 Midsland;28.4
;WK009302;Wijk 02 Formerum;33.6
;WK009303;Wijk 03 Lies;27.4
;WK009304;Wijk 04 Hoorn;28.4
;WK009305;Wijk 05 Oosterend;23.6
GM0096;Totaal;Vlieland;28.1
;WK009600;Wijk 00;28.1
GM0098;Totaal;Weststellingwerf;23.9
;WK009800;Wolvega;22.8
;WK009801;De Wolden-Ter Idzard;27.6
;WK009802;De Lamers;25.2
;WK009803;Lange-Nije-Munk;25.3
;WK009804;Scherpenzeel-Spanga;23.8
;WK009805;Oldetrijne-Sonnega;25.8
;WK009806;Blesdijke;25.9
;WK009807;De Blesse-Peperga;22.9
;WK009808;Steggerda;24.3
;WK009809;De Hoeve-Vinkega;28.4
;WK009810;Noordwolde;22.7
;WK009811;Oosterstreek;27
;WK009812;Zandhuizen;27.2
;WK009813;Boijl;26.8
;WK009814;Nijeholtpade;27.1
;WK009815;Oldeholtpade;26.8
GM0106;Totaal;Assen;25.9
;WK010600;Centrum;30.4
;WK010601;Lariks;22.8
;WK010602;Noorderpark;22.8
;WK010603;Assen-Oost;26.8
;WK010604;Pittelo;20.6
;WK010605;Assen-West;26.5
;WK010606;Peelo;23.6
;WK010607;Marsdijk;27.5
;WK010608;Kloosterveen;27
;WK010699;Buitengebied;30.9
GM0109;Totaal;Coevorden;25.3
;WK010910;Wijk 10 Coevorden;23.1
;WK010911;Wijk 11 Steenwijksmoer;25
;WK010912;Wijk 12 Nieuwe Krim;21.7
;WK010913;Wijk 13 Weijerswold;.
;WK010914;Wijk 14 Vlieghuis en Padhuis;23.3
;WK010920;Wijk 20 Dalen;27.6
;WK010930;Wijk 30 Oosterhesselen;25.5
;WK010940;Wijk 40 Sleen;26.5
;WK010950;Wijk 50 Zweeloo;28.6
GM0114;Totaal;Emmen;23.9
;WK011401;Wijk 01 Nieuw-Weerdinge;22.5
;WK011402;Wijk 02 Roswinkel;24.7
;WK011403;Wijk 03 Emmer-Compascuum;22.6
;WK011404;Wijk 04 Barger-Compascuum;23
;WK011405;Wijk 05 Nieuw-Dordrecht;23.8
;WK011406;Wijk 06 Nieuw-Amsterdam;23.7
;WK011407;Wijk 07 Erica;25.3
;WK011408;Wijk 08 Klazienaveen;23.2
;WK011409;Wijk 09 Zwartemeer;22.6
;WK011410;Wijk 10 Schoonebeek;25
;WK011413;Wijk 13 Veenoord;21.5
;WK011421;Wijk 21 Nieuw-Schoonebeek;25.9
;WK011432;Wijk 32 Weiteveen;23.1
;WK011440;Wijk 40 Emmen-Centrum;25.5
;WK011441;Wijk 41 Emmen-Centrum Oost;27.6
;WK011442;Wijk 42 Emmermeer;21.1
;WK011443;Wijk 43 Angelslo;19.5
;WK011444;Wijk 44 Emmerhout;21.2
;WK011445;Wijk 45 Emmerschans;21.5
;WK011446;Wijk 46 Bargeres;22.7
;WK011447;Wijk 47 Rietlanden;27.4
;WK011448;Wijk 48 Parc Sandur;34
;WK011449;Wijk 49 Delftlanden;28.4
;WK011450;Wijk 50 Barger-Oosterveld;25.7
;WK011451;Wijk 51 Kern Emmen Noord;26.5
;WK011452;Wijk 52 Kern Emmen Zuid;40.6
;WK011453;Wijk 53 Kern Emmen Industrieterreinen;.
GM0118;Totaal;Hoogeveen;23.5
;WK011850;Wijk 50 Hoogeveen;22
;WK011851;Wijk 51 De Weide;26.3
;WK011852;Wijke 52 Fluitenberg;27.1
;WK011853;Wijk 53 Elim;23.2
;WK011854;Wijk 54 Hollandscheveld;21.9
;WK011855;Wijk 55 Noordscheschut;23.1
;WK011856;Wijk 56 Nieuwlande;23.4
;WK011857;Wijk 57 Nieuweroord;22.8
;WK011858;Wijk 58 Tiendeveen;24.2
;WK011859;Wijk 59 Stuifzand;25.9
;WK011860;Wijk 60 Pesse;25.1
;WK011861;Wijk 61 Zuideropgaande Nieuw Moscou;23
;WK011862;Wijk 62 Industrie- en verspr. gebieden;27.9
GM0119;Totaal;Meppel;26.2
;WK011900;Centrum;28.4
;WK011901;Watertoren;22.3
;WK011902;Haveltermade;21.8
;WK011903;Koedijkslanden;23
